,2018-04-12,2018-04-11,2018-04-10,2018-04-09,2018-04-04,2018-04-03,2018-04-02,2018-03-30,2018-03-29,2018-03-28,2018-03-27,2018-03-26,2018-03-23,2018-03-22,2018-03-21,2018-03-20,2018-03-19,2018-03-16,2018-03-15,2018-03-14
300178.XSHE,9599034122.0,9746996112.0,9210633897.0,9358595888.0,9038011575.0,9185973566.0,9290779976.0,9346265722.0,9124322736.0,8939370249.0,8871554336.0,8495484278.0,8261211126.0,8859224170.0,8945535331.0,9019516327.0,9124322736.0,8883884502.0,8964030580.0,8927040083.0
603238.XSHG,2617200000.0,2614800000.0,2535600000.0,2556000000.0,2584800000.0,2594400000.0,2617200000.0,2599200000.0,2589600000.0,2594400000.0,2547600000.0,2541600000.0,2421600000.0,2562000000.0,2493600000.0,2482800000.0,2479200000.0,2469600000.0,2461200000.0,2520000000.0
300426.XSHE,7092000000.0,7148000000.0,7052000000.0,7236000000.0,7176000000.0,7208000000.0,7252000000.0,7556000000.0,7724000000.0,8580000000.0,8512000000.0,8040000000.0,7836000000.0,7996000000.0,8000000000.0,8200000000.0,8284000000.0,8220000000.0,8288000000.0,8420000000.0
002724.XSHE,4788000000.0,4860000000.0,4794000000.0,4848000000.0,4932000000.0,5100000000.0,5262000000.0,5400000000.0,4998000000.0,4914000000.0,4926000000.0,4674000000.0,4596000000.0,4986000000.0,4968000000.0,4980000000.0,5034000000.0,4938000000.0,4836000000.0,4938000000.0
000901.XSHE,8958995281.0,9147347101.0,9065455005.0,9347982736.0,9077738819.0,8942616861.0,9098211843.0,9151441706.0,8893481604.0,8885292394.0,8958995281.0,8631426897.0,8152358137.0,8635521502.0,8496304939.0,8463548101.0,8389845215.0,8307953119.0,8369372191.0,8324331538.0
000620.XSHE,11531877754.0,11437043233.0,11418076328.0,11512910849.0,11474977041.0,11474977041.0,11740513700.0,11607745370.0,11683612987.0,11664646083.0,12233653209.0,12271587017.0,11816381317.0,11702579891.0,11512910849.0,11531877754.0,11778447508.0,11949149646.0,11588778466.0,11759480604.0
600052.XSHG,3251773313.0,3251773313.0,3251773313.0,3251773313.0,3251773313.0,3251773313.0,3251773313.0,3251773313.0,3251773313.0,3173312295.0,3182030186.0,3077415495.0,3051261822.0,3225619640.0,3173312295.0,3173312295.0,3173312295.0,3190748077.0,3173312295.0,3208183859.0
300320.XSHE,4151960303.0,4212855720.0,4174104091.0,4085528938.0,4096600832.0,4113208673.0,4129816514.0,4085528938.0,4046777308.0,3969274049.0,4068921096.0,3864091055.0,3803195637.0,4201783826.0,4323574662.0,4390006027.0,4362326291.0,4434293603.0,4489653074.0,4533940650.0
600979.XSHG,4483529851.0,4530924458.0,4530924458.0,4493008772.0,4464572008.0,4445614165.0,4483529851.0,4502487694.0,4474050929.0,4436135243.0,4521445536.0,4445614165.0,4407698479.0,4635192594.0,4654150437.0,4635192594.0,4692066123.0,4786855337.0,4786855337.0,4758418573.0
300511.XSHE,5574334500.0,5658898000.0,5665754500.0,5656612500.0,5370925000.0,5302360000.0,5380067000.0,5279505000.0,5210940000.0,5208654500.0,5263506500.0,5073810000.0,5050955000.0,5236080500.0,5215511000.0,5272648500.0,5357212000.0,5368639500.0,5896590000.0,5530910000.0
600185.XSHG,11000994940.0,11186404967.0,11186404967.0,11207006081.0,10897989369.0,10897989369.0,11042197168.0,11186231728.0,11412840474.0,11021425368.0,11000824573.0,10836018212.0,10691812647.0,11186231728.0,11268634909.0,11227433319.0,11433441269.0,11557046040.0,11412840474.0,11474642860.0
000005.XSHE,3895415579.0,3937757052.0,3969513158.0,3980098526.0,3980098526.0,3969513158.0,4054196105.0,4085952210.0,4149464421.0,4128293684.0,3990683894.0,3906000947.0,3874244842.0,4149464421.0,4149464421.0,4212976631.0,4181220526.0,4202391263.0,4223562000.0,4350586421.0
002714.XSHE,59290159729.0,59382836806.0,54447782479.0,55606245936.0,57587218447.0,57054325257.0,54702644440.0,52455225333.0,52686918024.0,52536317775.0,54355105402.0,54413028575.0,54436197844.0,54100243442.0,55490399590.0,55305045437.0,54853244689.0,57598803082.0,56706786220.0,56787878662.0
600380.XSHG,18192876824.0,18602059175.0,18727961437.0,18428943565.0,18759437002.0,19042717091.0,19625015052.0,19294521615.0,18901077047.0,18727961437.0,18885339264.0,18381730217.0,18066974563.0,19703703965.0,19750917314.0,20459117536.0,19609277269.0,19939770706.0,19514850573.0,19499112790.0
601336.XSHG,143717511862.0,145620435288.0,148116072568.0,144497398512.0,141939370300.0,140753942592.0,141752197504.0,143561534532.0,146462712870.0,140597965262.0,144466203046.0,143218384406.0,147180208588.0,147180208588.0,154448752166.0,161966859472.0,164524887684.0,162122836802.0,163807391966.0,162777941588.0
002595.XSHE,13096000000.0,13080000000.0,12744000000.0,12616000000.0,12656000000.0,12832000000.0,13176000000.0,13152000000.0,13064000000.0,12960000000.0,13120000000.0,12896000000.0,13120000000.0,13768000000.0,13928000000.0,14024000000.0,13960000000.0,13776000000.0,13792000000.0,13936000000.0
