order_book_id,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
000601.XSHE,SNGF,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1996-08-30,100.0,Utilities,公用事业,Normal,Active,韶能股份,CS
000603.XSHE,SDKY,MainBoard,0000-00-00,XSHE,B09,有色金属矿采选业,1996-08-23,100.0,Materials,原材料,Normal,Active,盛达矿业,CS
000605.XSHE,BHGF,MainBoard,0000-00-00,XSHE,D46,水的生产和供应业,1996-09-13,100.0,Utilities,公用事业,Normal,Active,渤海股份,CS
000606.XSHE,SZYQ,MainBoard,0000-00-00,XSHE,C27,医药制造业,1996-10-04,100.0,InformationTechnology,信息技术,Normal,Active,神州易桥,CS
000607.XSHE,HMKG,MainBoard,0000-00-00,XSHE,R85,新闻和出版业,1996-08-30,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,华媒控股,CS
000608.XSHE,YGGF,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-09-19,100.0,Financials,金融,Normal,Active,阳光股份,CS
000609.XSHE,ZDTZ,MainBoard,0000-00-00,XSHE,S90,综合,1996-10-10,100.0,Financials,金融,Normal,Active,中迪投资,CS
000610.XSHE,XALY,MainBoard,0000-00-00,XSHE,N78,公共设施管理业,1996-09-26,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,西安旅游,CS
000611.XSHE,TSFZ,MainBoard,0000-00-00,XSHE,C17,纺织业,1996-10-08,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,天首发展,CS
000612.XSHE,JZWF,MainBoard,0000-00-00,XSHE,C32,有色金属冶炼和压延加工业,1996-09-26,100.0,Materials,原材料,Normal,Active,焦作万方,CS
000613.XSHE,DDHA,MainBoard,0000-00-00,XSHE,H61,住宿业,1997-01-28,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,大东海A,CS
000615.XSHE,JHGF,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-10-16,100.0,Financials,金融,Normal,Active,京汉股份,CS
000616.XSHE,HHTZ,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-11-08,100.0,Financials,金融,Normal,Active,海航投资,CS
000617.XSHE,ZYZB,MainBoard,0000-00-00,XSHE,J67,资本市场服务,1996-10-22,100.0,Financials,金融,Normal,Active,中油资本,CS
000619.XSHE,HLXC,MainBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,1996-10-23,100.0,Industrials,工业,Normal,Active,海螺型材,CS
000620.XSHE,XHL,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-10-29,100.0,Financials,金融,Normal,Active,新华联,CS
000622.XSHE,HLSY,MainBoard,0000-00-00,XSHE,C35,专用设备制造业,1996-11-07,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,恒立实业,CS
000623.XSHE,JLAD,MainBoard,0000-00-00,XSHE,C27,医药制造业,1996-10-28,100.0,HealthCare,医疗保健,Normal,Active,吉林敖东,CS
000625.XSHE,CAQC,MainBoard,0000-00-00,XSHE,C36,汽车制造业,1997-06-10,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,长安汽车,CS
000626.XSHE,YDKG,MainBoard,0000-00-00,XSHE,F51,批发业,1996-11-28,100.0,Industrials,工业,Normal,Active,远大控股,CS
000627.XSHE,TMJT,MainBoard,0000-00-00,XSHE,J68,保险业,1996-11-12,100.0,Financials,金融,Normal,Active,天茂集团,CS
000628.XSHE,GXFZ,MainBoard,0000-00-00,XSHE,E47,房屋建筑业,1996-11-18,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,高新发展,CS
000630.XSHE,TLYS,MainBoard,0000-00-00,XSHE,C32,有色金属冶炼和压延加工业,1996-11-20,100.0,Materials,原材料,Normal,Active,铜陵有色,CS
000631.XSHE,SFHY,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-11-22,100.0,Financials,金融,Normal,Active,顺发恒业,CS
000632.XSHE,SMJT,MainBoard,0000-00-00,XSHE,F51,批发业,1996-11-21,100.0,Industrials,工业,Normal,Active,三木集团,CS
000633.XSHE,HJTZ,MainBoard,0000-00-00,XSHE,C38,电气机械和器材制造业,1996-11-12,100.0,Materials,原材料,Normal,Active,合金投资,CS
000635.XSHE,YLT,MainBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,1996-11-20,100.0,Materials,原材料,Normal,Active,英力特,CS
000636.XSHE,FHGK,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1996-11-29,100.0,InformationTechnology,信息技术,Normal,Active,风华高科,CS
000637.XSHE,MHSH,MainBoard,0000-00-00,XSHE,C25,石油加工、炼焦及核燃料加工业,1996-11-14,100.0,Energy,能源,Normal,Active,茂化实华,CS
000638.XSHE,WFFZ,MainBoard,0000-00-00,XSHE,F51,批发业,1996-11-26,100.0,Industrials,工业,Normal,Active,万方发展,CS
