datetime,order_book_id,symbol,side,last_quantity,last_price,transaction_cost
2012-09-17 14:50:00,600270.XSHG,外运发展,BUY,800,6.17,5.00
2012-09-18 14:50:00,601799.XSHG,星宇股份,BUY,600,10.75,5.00
2012-09-18 14:50:00,000594.XSHE,国恒退,SELL,3200,2.14,11.85
2012-09-18 14:50:00,000926.XSHE,福星股份,SELL,1400,7.36,15.31
2012-09-18 14:50:00,600270.XSHG,外运发展,SELL,1600,6.13,14.81
2012-09-19 14:50:00,002485.XSHE,希努尔,BUY,200,8.87,5.00
2012-09-19 14:50:00,000594.XSHE,国恒退,SELL,900,2.16,6.94
2012-09-19 14:50:00,000926.XSHE,福星股份,SELL,200,7.29,6.46
2012-09-20 14:50:00,601799.XSHG,星宇股份,SELL,700,10.37,12.26
2012-09-20 14:50:00,002485.XSHE,希努尔,BUY,2000,8.51,5.00
2012-09-20 14:50:00,000594.XSHE,国恒退,SELL,1800,2.09,8.76
2012-09-20 14:50:00,600009.XSHG,上海机场,BUY,1600,11.54,5.00
2012-09-21 14:50:00,600009.XSHG,上海机场,SELL,1600,11.43,23.29
2012-09-21 14:50:00,601799.XSHG,星宇股份,BUY,1800,10.32,5.00
2012-09-21 14:50:00,000594.XSHE,国恒退,SELL,100,2.10,5.21
2012-09-24 14:50:00,601518.XSHG,吉林高速,BUY,2000,2.36,5.00
2012-09-24 14:50:00,000594.XSHE,国恒退,SELL,200,2.14,5.43
2012-09-25 14:50:00,600270.XSHG,外运发展,SELL,700,5.87,9.11
2012-09-26 14:50:00,600270.XSHG,外运发展,SELL,2500,5.76,19.40
2012-09-26 14:50:00,601518.XSHG,吉林高速,BUY,400,2.32,5.00
2012-09-27 14:50:00,000926.XSHE,福星股份,SELL,1800,7.02,17.64
2012-09-27 14:50:00,600684.XSHG,珠江实业,BUY,500,6.03,5.00
2012-09-27 14:50:00,601518.XSHG,吉林高速,BUY,600,2.36,5.00
2012-09-27 14:50:00,000594.XSHE,国恒退,SELL,100,2.14,5.21
2012-10-29 14:50:00,000594.XSHE,国恒退,SELL,8600,2.28,24.60
2012-10-29 14:50:00,002485.XSHE,希努尔,SELL,300,7.64,7.29
2012-10-29 14:50:00,601799.XSHG,星宇股份,BUY,100,9.86,5.00
2012-10-29 14:50:00,601518.XSHG,吉林高速,BUY,4200,2.61,5.00
2012-10-29 14:50:00,600284.XSHG,浦东建设,BUY,700,7.24,5.00
2012-10-29 14:50:00,600510.XSHG,黑牡丹,BUY,1300,5.71,5.00
2012-10-29 14:50:00,000926.XSHE,福星股份,BUY,1500,7.66,5.00
2012-10-30 14:50:00,000926.XSHE,福星股份,SELL,2000,7.82,20.64
2012-10-30 14:50:00,002485.XSHE,希努尔,SELL,700,7.67,10.37
2012-10-30 14:50:00,601518.XSHG,吉林高速,SELL,7200,2.54,23.27
2012-10-30 14:50:00,002516.XSHE,旷达科技,BUY,800,7.48,5.00
2012-10-30 14:50:00,600284.XSHG,浦东建设,BUY,1800,7.33,5.00
2012-10-30 14:50:00,600510.XSHG,黑牡丹,BUY,1900,5.76,5.00
2012-10-31 14:50:00,600284.XSHG,浦东建设,SELL,2500,7.31,23.28
2012-10-31 14:50:00,600684.XSHG,珠江实业,SELL,500,8.54,9.27
2012-10-31 14:50:00,002516.XSHE,旷达科技,BUY,1700,7.50,5.00
2012-10-31 14:50:00,000926.XSHE,福星股份,BUY,1900,8.03,5.00
2012-11-16 14:50:00,600510.XSHG,黑牡丹,SELL,2800,5.71,20.99
2012-11-16 14:50:00,002516.XSHE,旷达科技,SELL,100,7.85,5.79
2012-11-16 14:50:00,002441.XSHE,众业达,BUY,800,11.46,5.00
2012-11-16 14:50:00,000619.XSHE,海螺型材,BUY,2100,8.15,5.00
2012-11-19 14:50:00,000926.XSHE,福星股份,SELL,2100,7.46,20.67
2012-11-19 14:50:00,601518.XSHG,吉林高速,BUY,400,2.42,5.00
2012-11-19 14:50:00,000619.XSHE,海螺型材,BUY,100,8.35,5.00
2012-11-20 14:50:00,000926.XSHE,福星股份,SELL,200,7.48,6.50
2012-11-20 14:50:00,002485.XSHE,希努尔,SELL,100,7.44,5.74
2012-11-21 14:50:00,600510.XSHG,黑牡丹,SELL,400,5.77,7.31
2012-11-21 14:50:00,002441.XSHE,众业达,BUY,700,12.13,5.00
2012-11-22 14:50:00,002485.XSHE,希努尔,SELL,400,7.40,7.96
2012-11-22 14:50:00,002516.XSHE,旷达科技,SELL,1000,8.00,13.00
2012-11-22 14:50:00,601518.XSHG,吉林高速,BUY,7400,2.41,5.00
2012-11-22 14:50:00,600510.XSHG,黑牡丹,BUY,1600,5.83,5.00
2012-11-23 14:50:00,002516.XSHE,旷达科技,SELL,1400,7.96,16.14
2012-11-23 14:50:00,600510.XSHG,黑牡丹,BUY,500,5.81,5.00
2012-11-26 14:50:00,002485.XSHE,希努尔,SELL,200,7.23,6.45
2012-11-26 14:50:00,002516.XSHE,旷达科技,BUY,1200,7.83,5.00
2012-11-27 14:50:00,002485.XSHE,希努尔,SELL,500,6.73,8.36
2012-11-27 14:50:00,600510.XSHG,黑牡丹,SELL,300,5.44,6.63
2012-11-27 14:50:00,002516.XSHE,旷达科技,BUY,700,7.41,5.00
2012-11-27 14:50:00,601518.XSHG,吉林高速,SELL,100,2.31,5.23
2012-11-28 14:50:00,600510.XSHG,黑牡丹,SELL,800,5.29,9.23
2012-11-28 14:50:00,002516.XSHE,旷达科技,BUY,500,7.20,5.00
2012-11-28 14:50:00,000619.XSHE,海螺型材,BUY,100,7.60,5.00
2012-11-29 14:50:00,601518.XSHG,吉林高速,SELL,3200,2.37,12.58
2012-11-29 14:50:00,600382.XSHG,广东明珠,BUY,1300,5.77,5.00
2012-12-03 14:50:00,600510.XSHG,黑牡丹,SELL,600,5.36,8.22
2012-12-03 14:50:00,601518.XSHG,吉林高速,SELL,300,2.35,5.70
2012-12-03 14:50:00,002441.XSHE,众业达,BUY,100,10.70,5.00
2012-12-04 14:50:00,000619.XSHE,海螺型材,SELL,2300,7.47,22.19
2012-12-04 14:50:00,600510.XSHG,黑牡丹,SELL,400,5.47,7.19
2012-12-04 14:50:00,600987.XSHG,航民股份,BUY,2800,6.12,5.00
2012-12-05 14:50:00,600987.XSHG,航民股份,SELL,2600,6.33,21.45
2012-12-05 14:50:00,601518.XSHG,吉林高速,SELL,1000,2.46,7.46
2012-12-05 14:50:00,600382.XSHG,广东明珠,BUY,1600,6.10,5.00
2012-12-05 14:50:00,000619.XSHE,海螺型材,BUY,1800,7.95,5.00
2012-12-06 14:50:00,600382.XSHG,广东明珠,SELL,800,5.99,9.79
2012-12-06 14:50:00,600987.XSHG,航民股份,SELL,200,6.23,6.25
2012-12-06 14:50:00,000619.XSHE,海螺型材,BUY,400,7.97,5.00
2013-03-12 14:50:00,000619.XSHE,海螺型材,SELL,2200,8.96,24.70
2013-03-12 14:50:00,002441.XSHE,众业达,SELL,1200,14.36,22.23
2013-03-12 14:50:00,002516.XSHE,旷达科技,SELL,2400,8.33,24.99
2013-03-12 14:50:00,600382.XSHG,广东明珠,SELL,2100,7.50,20.75
2013-03-12 14:50:00,601518.XSHG,吉林高速,SELL,3200,2.61,13.34
2013-03-12 14:50:00,601799.XSHG,星宇股份,SELL,100,11.15,6.12
2013-03-12 14:50:00,600178.XSHG,东安动力,BUY,3400,6.13,5.00
2013-03-12 14:50:00,600510.XSHG,黑牡丹,BUY,3000,6.49,5.00
2013-03-12 14:50:00,000926.XSHE,福星股份,BUY,2700,7.81,5.06
2013-03-12 14:50:00,600270.XSHG,外运发展,BUY,2800,7.38,5.00
2013-03-12 14:50:00,601718.XSHG,际华集团,BUY,900,2.97,5.00
2013-03-13 14:50:00,002441.XSHE,众业达,SELL,400,14.15,10.66
2013-03-13 14:50:00,601718.XSHG,际华集团,SELL,900,2.92,7.62
2013-03-13 14:50:00,000619.XSHE,海螺型材,BUY,900,8.88,5.00
2013-03-14 14:50:00,600270.XSHG,外运发展,SELL,2000,7.17,19.35
2013-03-14 14:50:00,000619.XSHE,海螺型材,BUY,1400,8.87,5.00
2013-03-14 14:50:00,600510.XSHG,黑牡丹,BUY,200,6.32,5.00
2013-03-15 14:50:00,600270.XSHG,外运发展,SELL,800,7.35,10.88
2013-03-18 14:50:00,600510.XSHG,黑牡丹,BUY,100,6.21,5.00
2013-03-19 14:50:00,000926.XSHE,福星股份,SELL,2700,7.72,25.85
2013-03-19 14:50:00,600510.XSHG,黑牡丹,SELL,3300,6.37,26.06
2013-03-19 14:50:00,002516.XSHE,旷达科技,BUY,1900,8.24,5.00
2013-03-19 14:50:00,601799.XSHG,星宇股份,BUY,100,10.98,5.00
2013-03-19 14:50:00,601518.XSHG,吉林高速,BUY,7100,2.56,5.00
2013-03-20 14:50:00,000619.XSHE,海螺型材,SELL,2300,9.20,26.25
2013-03-20 14:50:00,002516.XSHE,旷达科技,SELL,1900,8.29,20.75
2013-03-20 14:50:00,601518.XSHG,吉林高速,SELL,7100,2.58,23.30
2013-03-20 14:50:00,600178.XSHG,东安动力,SELL,200,6.74,6.35
2013-03-20 14:50:00,002521.XSHE,齐峰新材,BUY,1300,15.71,5.00
2013-03-20 14:50:00,600510.XSHG,黑牡丹,BUY,3200,6.57,5.05
